s.n.,name_of_province,district_name_english,district_name_nepali,palika_name_english,palika_name_nepali,palika_type,total_wards,municipal_center_english,municipal_center_nepali,municipal_center_sec_source,total_palikas,website,email,area_sq_km,total_population,total_male,total_female,total_households,long,lat,remarks
1,1,BHOJPUR,भोजपुर,Aamchowk Gaunpalika,आमचोक गाउँपालिका,Gaunpalika,10,Balankha,बलन्खा,Balankha,1,http://www.aamchowkmun.gov.np/,ito.aamchowkmun@gmail.com,185,18720,9008,9712,3677,86.98016,26.978705,
2,1,BHOJPUR,भोजपुर,Arun Gaunpalika,अरुण गाउँपालिका,Gaunpalika,7,Pyauli,प्यौलि,Pyauli,2,http://www.arunmun.gov.np/,arunrmun@gmail.com,155,17687,8127,9560,3782,87.15652,27.210895,
3,1,BHOJPUR,भोजपुर,Bhojpur Municipality,भोजपुर नगरपालिका,Nagarpalika,12,Bhojpur,भोजपुर,Bhojpur,3,http://www.bhojpurmun.gov.np/,,160,27204,12684,14520,6438,87.04593,27.17043,
4,1,BHOJPUR,भोजपुर,Hatuwagadhi Gaunpalika,हतुवागढी गाउँपालिका,Gaunpalika,9,Ranibas,रानीबस्,Ghoretar,4,http://www.hatuwagadhimun.gov.np/,hatuwagadhi.ruralmunicipality@gmail.com,143,20404,9482,10922,4579,87.12095,27.02317,
5,1,BHOJPUR,भोजपुर,Pauwa Dunma Gaunpalika,पौवा दुङ्मा गाउँपालिका,Gaunpalika,6,Chyangre,च्यङ्रे,Chyangre,5,http://www.pauwadungmamun.gov.np/,pauwadungmamun@gmail.com,119,15394,7118,8276,3280,87.12377,27.150773,
6,1,BHOJPUR,भोजपुर,Ramprasad Rai Gaunpalika,रामप्रसाद राई गाउँपालिका,Gaunpalika,8,Baikunthe,बैकुन्थे,Baikunthe,6,http://www.ramprasadraimun.gov.np/,"ramprasadrai.rm@gmail.com, ito",158,18888,8777,10111,4016,87.03649,27.074125,
7,1,BHOJPUR,भोजपुर,Salpa Silichho Gaunpalika,साल्पासिलिछो गाउँपालिका,Gaunpalika,6,Chaukidada,चौकिदादा,Chaukidanda,7,http://www.salpasilichhomun.gov.np/,salpasilichhoruralmuncipality@gmail.com,193,13945,6675,7270,2728,86.97714,27.407043,
8,1,BHOJPUR,भोजपुर,Shadananda Municipality,षडानन्द नगरपालिका,Nagarpalika,14,Shadananda,सदानन्द,Dingla Bazar,8,http://www.shadanandmun.gov.np/,,241,31606,14925,16681,6832,87.13518,27.35706,
9,1,BHOJPUR,भोजपुर,Temke Maiyum Gaunpalika,टेम्केमैयुङ गाउँपालिका,Gaunpalika,9,Annapurna,अन्नपूर्ण,Aanapurna,9,http://www.tyamkemaiyummun.gov.np/,dpkkto@gmail.com,173,18211,8483,9728,4061,86.98394,27.204227,
10,1,DHANKUTA,धनकुटा,Chaubise Gaunpalika,चौविसे गाउँपालिका,Gaunpalika,8,Rajarani,राजारानी,Rajarani,1,http://www.choubisemun.gov.np/,chaubisegapa@gmail.com,148,19283,8723,10560,4542,87.43283,26.879781,
11,1,DHANKUTA,धनकुटा,Chhathar Jorpati Gaunpalika,छथर जोरपाटी गाउँपालिका,Gaunpalika,6,Jorpati Bazar,जोर्पती बजार,Tankhuwa,2,http://www.chhatharjorpatimun.gov.np/,chhatharjorpatigapa@gmail.com,103,18322,8346,9976,4232,87.38934,27.075014,
12,1,DHANKUTA,धनकुटा,Dhankuta Municipality,धनकुटा नगरपालिका,Nagarpalika,10,Dhankuta,ढन्कुता,Dhankuta,3,http://www.dhankutamun.gov.np/,,111,36619,17167,19452,9460,87.343921,26.980661,
13,1,DHANKUTA,धनकुटा,Khalsa Chhintang Sahidbhumi Gaunpalika,सहिदभूमी गाउँपालिका,Gaunpalika,7,Piple (Khoku vdc),पिप्ले (खोकु व्द्क्),Khoku,4,http://www.khalsachhintangshahidbhumimun.gov.np/,ito.sahidbhumimun@gmail.com,99.55,18760,8931,9829,3876,87.20795,26.983833,
14,1,DHANKUTA,धनकुटा,Mahalaxmi Municipality,महालक्ष्मी नगरपालिका,Nagarpalika,9,Arkhaule Jitpur,अर्खौले जित्पुर्,Jitpur Arkhaule,5,http://www.mahakulungmun.gov.np/,mahakulung.rum@gmail.com,129,24800,11337,13463,5482,87.31886,27.112866,
